P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-319 b,Kepler-319 b,1805.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.65,,1.62,1.09,1.76,1.69,        260.5421,        260.5421,        260.5422,1023.6,1023.6,1023.6,1064.5,1064.5,1064.5,5.1,-24.30,3.09,4.36,0.0510,0.00,0.05,,0.0,Kepler-319,,,Lyr,G,1.29,0.90,5526.0,0.677670,0.487,,,,19.2541,39.7707,-32.8,9.4150,3,0,0.627,1.488,-2.34,-0.15,-0.71,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-319 c,Kepler-319 c,1805.01,Hot,Neptunian,gas,metals-rich,non-habitable,,3.47,,2.63,0.19,0.50,1.15,        142.3378,        142.3378,        142.3378,880.0,880.0,880.0,,,,0.7,-24.69,5.00,6.94,0.0690,0.00,0.07,,0.0,Kepler-319,,,Lyr,G,1.29,0.90,5526.0,0.677670,0.487,,,,19.2541,39.7707,-32.1,6.9553,3,0,0.627,1.488,-2.30,2.43,-0.98,0.22,,0.00,0.00,0.23,0,0,0,1,Primary Transit,      2014.00
Kepler-319 d,Kepler-319 d,1805.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.93,,2.28,1.50,3.43,2.80,        18.57597,        18.57598,        18.57598,528.9,528.9,528.9,577.0,577.0,577.0,26.9,-22.16,4.34,31.78,0.1910,0.00,0.19,,0.0,Kepler-319,,,Lyr,G,1.29,0.90,5526.0,0.677670,0.487,,,,19.2541,39.7707,-29.9,2.5113,3,0,0.627,1.488,-2.01,-0.12,0.62,0.32,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-320 b,Kepler-320 b,1806.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.35,,1.14,0.91,1.04,1.09,        262.3567,        262.3567,        262.3568,1025.3,1025.3,1025.3,1060.2,1060.2,1060.2,1.2,-23.54,2.17,8.37,0.0850,0.00,0.09,,0.0,Kepler-320,,,Cyg,F,1.17,1.11,6435.0,1.895527,-0.244,,,,19.5476,46.1751,-32.8,6.9635,2,0,0.993,2.307,-2.38,-0.17,-1.07,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-320 c,Kepler-320 c,1806.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.51,,1.37,0.98,1.34,1.35,        94.00549,        94.00552,        94.00553,793.3,793.3,793.3,831.2,831.2,831.2,2.5,-22.81,2.60,17.93,0.1420,0.00,0.14,,0.0,Kepler-320,,,Cyg,F,1.19,1.11,6435.0,1.895527,-0.244,,,,19.5476,46.1751,-31.7,4.1667,2,0,0.993,2.307,-2.30,-0.16,-0.80,0.29,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-321 b,Kepler-321 b,1809.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.40,,1.77,1.16,2.05,1.90,        424.5038,        424.5038,        424.5039,1156.4,1156.4,1156.4,1199.0,1199.0,1199.0,7.4,-25.02,3.36,4.92,0.0570,0.00,0.06,,0.0,Kepler-321,,,Cyg,G,1.01,1.19,5740.0,1.379213,,,,,19.6302,44.1458,-33.3,11.1433,2,0,0.883,2.083,-2.38,-0.14,-0.65,0.29,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-321 c,Kepler-321 c,1809.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,19.11,,2.32,1.53,3.55,2.87,        113.9845,        113.9846,        113.9846,832.4,832.4,832.4,880.9,880.9,880.9,29.3,-24.18,4.41,13.09,0.1100,0.00,0.11,,0.0,Kepler-321,,,Cyg,G,1.01,1.19,5740.0,1.379213,,,,,19.6302,44.1458,-31.9,5.7676,2,0,0.883,2.083,-2.29,-0.12,0.19,0.30,0.00,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-322 b,Kepler-322 b,1820.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.89,,1.01,0.87,0.88,0.94,        821.5853,        821.5853,        821.5853,1364.0,1364.0,1364.0,1396.9,1396.9,1396.9,0.8,-24.51,1.92,1.65,0.0270,0.00,0.03,,0.0,Kepler-322,,,Lyr,G,0.91,0.89,5388.0,0.598936,-0.060,,,,18.7566,44.2952,-34.1,17.6360,2,0,0.594,1.416,-2.38,-0.17,-1.24,0.27,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-322 c,Kepler-322 c,1820.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.14,,1.67,1.11,1.85,1.76,        230.2712,        230.2713,        230.2713,992.4,992.4,992.4,1033.9,1033.9,1033.9,5.7,-24.22,3.17,4.34,0.0510,0.00,0.05,,0.0,Kepler-322,,,Lyr,G,0.91,0.89,5388.0,0.598936,-0.060,,,,18.7566,44.2952,-32.7,9.3101,2,0,0.594,1.416,-2.32,-0.15,-0.65,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-323 b,Kepler-323 b,1824.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.97,,1.43,1.01,1.44,1.44,        2047.269,        2047.269,        2047.269,1713.7,1713.7,1713.7,1752.4,1752.4,1752.4,3.0,-26.28,2.72,1.68,0.0280,0.00,0.03,,0.0,Kepler-323,,,Lyr,G,1.09,1.18,5987.0,1.605059,-0.078,,,,19.4255,38.1275,-35.0,22.6049,2,0,0.939,2.200,-2.44,-0.16,-1.06,0.27,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-323 c,Kepler-323 c,1824.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.65,,1.62,1.09,1.76,1.69,        758.5342,        758.5343,        758.5344,1337.0,1337.0,1337.0,1378.0,1378.0,1378.0,5.1,-25.47,3.09,3.55,0.0460,0.00,0.05,,0.0,Kepler-323,,,Lyr,G,1.09,1.18,5987.0,1.605059,-0.078,,,,19.4255,38.1275,-34.0,13.7031,2,0,0.939,2.200,-2.42,-0.15,-0.83,0.28,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-324 b,Kepler-324 b,1831.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.35,,1.14,0.91,1.04,1.09,        184.2961,        184.2961,        184.2961,938.7,938.7,938.7,973.6,973.6,973.6,1.2,-23.16,2.17,4.39,0.0500,0.00,0.05,,0.0,Kepler-324,,,Dra,K,0.86,0.84,5194.0,0.460740,-0.009,,,,19.0981,49.6490,-32.4,8.9621,2,0,0.527,1.264,-2.29,-0.17,-1.04,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-324 c,Kepler-324 c,1831.01,Hot,Neptunian,gas,metals-rich,non-habitable,,6.12,,3.15,0.20,0.62,1.39,        6.815684,        6.815685,        6.815685,411.6,411.6,411.6,,,,1.2,-21.77,5.98,51.81,0.2600,0.00,0.26,,0.0,Kepler-324,,,Dra,K,0.86,0.84,5194.0,0.460740,-0.009,,,,19.0981,49.6490,-28.8,1.7218,2,0,0.527,1.264,-1.72,2.59,-0.40,0.24,,0.00,0.00,0.36,0,0,0,1,Primary Transit,      2014.00
Kepler-325 b,Kepler-325 b,1832.01,Hot,Neptunian,gas,metals-rich,non-habitable,,4.80,,2.91,0.19,0.57,1.28,        349.6339,        349.6339,        349.6340,1101.7,1101.7,1101.7,,,,0.9,-25.90,5.54,4.54,0.0530,0.00,0.05,,0.0,Kepler-325,,,Cyg,G,0.87,1.00,5752.0,0.982122,-0.171,,,,19.3224,49.8256,-33.1,10.0680,3,0,0.745,1.756,-2.37,2.51,-0.98,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-325 c,Kepler-325 c,1832.02,Hot,Superterran,gas,metals-rich,non-habitable,,3.10,,2.54,0.19,0.48,1.11,        89.08132,        89.08133,        89.08135,782.7,782.7,782.7,,,,0.6,-24.11,4.83,12.76,0.1050,0.00,0.10,,0.0,Kepler-325,,,Cyg,G,0.87,1.00,5752.0,0.982122,-0.171,,,,19.3224,49.8256,-31.6,5.0771,3,0,0.745,1.756,-2.27,2.41,-0.97,0.23,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-325 d,Kepler-325 d,1832.03,Hot,Neptunian,gas,metals-rich,non-habitable,,4.18,,2.79,0.19,0.54,1.22,        20.29177,        20.29177,        20.29177,540.7,540.7,540.7,,,,0.8,-22.70,5.30,38.72,0.2200,0.00,0.22,,0.0,Kepler-325,,,Cyg,G,0.87,1.00,5752.0,0.982122,-0.171,,,,19.3224,49.8256,-30.0,2.4225,3,0,0.745,1.756,-2.04,2.47,-0.71,0.23,,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-326 b,Kepler-326 b,1835.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.69,,1.52,1.04,1.59,1.56,        380.8490,        380.8490,        380.8491,1125.5,1125.5,1125.5,1165.2,1165.2,1165.2,3.8,-24.57,2.89,2.25,0.0320,0.00,0.03,,0.0,Kepler-326,,,Cyg,K,0.98,0.80,5105.0,0.389989,0.133,,,,19.6217,46.0023,-33.2,13.3531,3,0,0.487,1.172,-2.33,-0.15,-0.83,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-326 c,Kepler-326 c,1835.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.73,,1.40,0.99,1.39,1.40,        149.9382,        149.9382,        149.9383,891.5,891.5,891.5,929.8,929.8,929.8,2.7,-23.37,2.66,4.58,0.0510,0.00,0.05,,0.0,Kepler-326,,,Cyg,K,0.98,0.80,5105.0,0.389989,0.133,,,,19.6217,46.0023,-32.2,8.3669,3,0,0.487,1.172,-2.27,-0.16,-0.83,0.29,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-326 d,Kepler-326 d,1835.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.65,,1.21,0.93,1.12,1.17,        89.52923,        89.52924,        89.52927,783.7,783.7,783.7,819.5,819.5,819.5,1.5,-22.49,2.30,6.77,0.0660,0.00,0.07,,0.0,Kepler-326,,,Cyg,K,0.98,0.80,5105.0,0.389989,0.133,,,,19.6217,46.0023,-31.6,6.4630,3,0,0.487,1.172,-2.23,-0.17,-0.92,0.29,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-327 b,Kepler-327 b,1867.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.23,,1.11,0.90,1.00,1.05,        53.35352,        53.35353,        53.35355,688.6,688.6,688.6,723.0,723.0,723.0,1.1,-21.74,2.11,2.55,0.0290,0.00,0.03,,0.0,Kepler-327,,,Cyg,M,0.55,0.49,3799.0,0.044870,-0.042,,,,19.5095,44.0877,-31.1,9.0137,3,0,0.172,0.441,-2.07,-0.17,-0.96,0.30,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2014.00
Kepler-327 c,Kepler-327 c,1867.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,0.96,,1.03,0.88,0.90,0.96,        20.31250,        20.31250,        20.31251,540.9,540.9,540.9,574.1,574.1,574.1,0.8,-20.52,1.96,5.21,0.0470,0.00,0.05,,0.0,Kepler-327,,,Cyg,M,0.55,0.49,3799.0,0.044870,-0.042,,,,19.5095,44.0877,-30.0,5.5581,3,0,0.172,0.441,-1.93,-0.17,-0.93,0.32,0.00,0.00,0.00,0.36,0,0,0,1,Primary Transit,      2014.00
Kepler-327 d,Kepler-327 d,1867.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.82,,1.72,1.13,1.95,1.84,        5.539546,        5.539546,        5.539547,390.9,390.9,390.9,432.9,432.9,432.9,6.6,-20.23,3.28,13.97,0.0900,0.00,0.09,,0.0,Kepler-327,,,Cyg,M,0.55,0.49,3799.0,0.044870,-0.042,,,,19.5095,44.0877,-28.6,2.9017,3,0,0.172,0.441,-1.61,-0.15,0.07,0.38,0.00,0.00,0.00,0.47,0,0,0,1,Primary Transit,      2014.00
Kepler-328 b,Kepler-328 b,1873.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,21.94,,2.31,1.79,4.12,3.08,        15.61352,        15.61352,        15.61352,506.4,506.4,506.4,556.1,556.1,556.1,39.2,-22.00,4.39,34.92,0.2076,0.00,0.21,,0.0,Kepler-328,,,Lyr,G,0.98,0.97,5314.0,0.673162,-0.186,,,,19.2208,46.7714,-29.7,2.4897,2,0,0.632,1.511,-1.97,-0.24,0.92,0.31,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2013.00
Kepler-328 c,Kepler-328 c,1873.01,Hot,Neptunian,gas,metals-rich,non-habitable,,31.79,,5.41,0.20,1.09,2.42,        6.026512,        6.026514,        6.026514,399.2,399.2,399.2,,,,6.4,-22.82,10.29,71.31,0.3342,0.00,0.33,,0.0,Kepler-328,,,Lyr,G,0.98,0.97,5314.0,0.673162,-0.186,,,,19.2208,46.7714,-28.7,1.5467,2,0,0.632,1.511,-1.68,3.61,0.62,0.20,,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2013.00
Kepler-329 b,Kepler-329 b,1874.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.73,,1.40,0.99,1.39,1.40,        21.41171,        21.41172,        21.41172,548.0,548.0,548.0,586.3,586.3,586.3,2.7,-21.25,2.66,7.42,0.0610,0.00,0.06,,0.0,Kepler-329,,,Cyg,K,0.53,0.52,4257.0,0.079673,-0.572,,,,19.9512,45.2274,-30.1,4.5441,2,0,0.227,0.569,-1.98,-0.16,-0.58,0.33,0.00,0.00,0.00,0.35,0,0,0,1,Primary Transit,      2014.00
Kepler-329 c,Kepler-329 c,1874.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,8.88,,1.93,1.24,2.39,2.15,        6.239564,        6.239564,        6.239565,402.7,402.7,402.7,446.9,446.9,446.9,11.0,-20.60,3.66,18.68,0.1130,0.00,0.11,,0.0,Kepler-329,,,Cyg,K,0.53,0.52,4257.0,0.079673,-0.572,,,,19.9512,45.2274,-28.7,2.4525,2,0,0.227,0.569,-1.67,-0.14,0.34,0.37,0.00,0.00,0.00,0.44,0,0,0,1,Primary Transit,      2014.00
Kepler-330 b,Kepler-330 b,1891.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.37,,1.34,0.97,1.31,1.33,        56.68837,        56.68838,        56.68839,699.1,699.1,699.1,736.6,736.6,736.6,2.3,-22.22,2.55,8.26,0.0750,0.00,0.07,,0.0,Kepler-330,,,Cyg,K,0.78,0.72,5117.0,0.318872,-0.097,,,,19.2298,44.8017,-31.1,5.1177,2,0,0.440,1.058,-2.18,-0.16,-0.76,0.30,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-330 c,Kepler-330 c,1891.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,9.29,,1.95,1.26,2.45,2.18,        23.69739,        23.69739,        23.69740,562.1,562.1,562.1,606.6,606.6,606.6,11.7,-22.08,3.70,15.96,0.1160,0.00,0.12,,0.0,Kepler-330,,,Cyg,K,0.78,0.72,5117.0,0.318872,-0.097,,,,19.2298,44.8017,-30.2,3.3082,2,0,0.440,1.058,-2.05,-0.14,0.05,0.33,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-331 b,Kepler-331 b,1895.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.04,,1.81,1.18,2.14,1.97,        18.20597,        18.20597,        18.20597,526.3,526.3,526.3,569.3,569.3,569.3,8.3,-21.64,3.45,8.46,0.0650,0.00,0.07,,0.0,Kepler-331,,,Lyr,K,0.51,0.49,4347.0,0.076920,-0.850,,,,19.4556,39.3074,-29.9,4.0182,3,0,0.223,0.555,-1.95,-0.14,-0.07,0.34,0.00,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2014.00
Kepler-331 c,Kepler-331 c,1895.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.38,,1.84,1.19,2.19,2.00,        6.976891,        6.976891,        6.976893,414.1,414.1,414.1,457.4,457.4,457.4,8.8,-20.62,3.49,17.28,0.1050,0.00,0.10,,0.0,Kepler-331,,,Lyr,K,0.51,0.49,4347.0,0.076920,-0.850,,,,19.4556,39.3074,-28.8,2.4871,3,0,0.223,0.555,-1.71,-0.14,0.18,0.37,0.00,0.00,0.00,0.43,0,0,0,1,Primary Transit,      2014.00
Kepler-331 d,Kepler-331 d,1895.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,4.77,,1.64,1.09,1.78,1.71,        3.042610,        3.042610,        3.042610,336.5,336.5,336.5,377.5,377.5,377.5,5.2,-19.46,3.11,32.13,0.1590,0.00,0.16,,0.0,Kepler-331,,,Lyr,K,0.51,0.49,4347.0,0.076920,-0.850,,,,19.4556,39.3074,-27.9,1.6424,3,0,0.223,0.555,-1.39,-0.15,0.07,0.42,0.00,0.00,0.00,0.60,0,0,0,1,Primary Transit,      2014.00
Kepler-332 b,Kepler-332 b,1905.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.45,,1.16,0.92,1.07,1.11,        57.21810,        57.21810,        57.21811,700.7,700.7,700.7,735.9,735.9,735.9,1.3,-21.92,2.21,7.63,0.0700,0.00,0.07,,0.0,Kepler-332,,,Lyr,K,0.80,0.72,4955.0,0.280369,0.050,,,,19.1109,47.4137,-31.1,5.4835,3,0,0.416,1.007,-2.17,-0.17,-0.92,0.30,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2014.00
Kepler-332 c,Kepler-332 c,1905.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.14,,1.09,0.89,0.97,1.03,        21.57346,        21.57346,        21.57346,549.1,549.1,549.1,583.2,583.2,583.2,1.0,-20.71,2.06,16.00,0.1140,0.00,0.11,,0.0,Kepler-332,,,Lyr,K,0.80,0.72,4955.0,0.280369,0.050,,,,19.1109,47.4137,-30.1,3.3663,3,0,0.416,1.007,-2.02,-0.17,-0.88,0.31,0.00,0.00,0.00,0.35,0,0,0,1,Primary Transit,      2014.00
Kepler-332 d,Kepler-332 d,1905.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.49,,1.18,0.92,1.08,1.13,        7.848847,        7.848848,        7.848848,426.4,426.4,426.4,461.8,461.8,461.8,1.4,-19.78,2.23,34.21,0.1890,0.00,0.19,,0.0,Kepler-332,,,Lyr,K,0.80,0.72,4955.0,0.280369,0.050,,,,19.1109,47.4137,-29.0,2.0303,3,0,0.416,1.007,-1.77,-0.17,-0.67,0.35,0.00,0.00,0.00,0.45,0,0,0,1,Primary Transit,      2014.00
Kepler-333 b,Kepler-333 b,1908.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.23,,1.32,0.97,1.28,1.30,        10.95553,        10.95554,        10.95554,463.5,463.5,463.5,500.8,500.8,500.8,2.2,-20.39,2.51,12.55,0.0870,0.00,0.09,,0.0,Kepler-333,,,Cyg,K,0.54,0.53,4259.0,0.082922,-0.472,,,,19.4857,40.9136,-29.3,3.2469,2,0,0.232,0.580,-1.83,-0.16,-0.56,0.34,0.00,0.00,0.00,0.40,0,0,0,1,Primary Transit,      2014.00
Kepler-333 c,Kepler-333 c,1908.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.23,,1.11,0.90,1.00,1.05,        4.549929,        4.549929,        4.549930,372.1,372.1,372.1,406.5,406.5,406.5,1.1,-19.05,2.11,24.09,0.1350,0.00,0.14,,0.0,Kepler-333,,,Cyg,K,0.54,0.53,4259.0,0.082922,-0.472,,,,19.4857,40.9136,-28.4,2.0923,2,0,0.232,0.580,-1.56,-0.17,-0.68,0.37,0.00,0.00,0.00,0.55,0,0,0,1,Primary Transit,      2014.00
Kepler-334 b,Kepler-334 b,1909.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.27,,1.12,0.90,1.01,1.06,        318.4754,        318.4754,        318.4755,1076.3,1076.3,1076.3,1110.8,1110.8,1110.8,1.1,-23.71,2.13,5.47,0.0610,0.00,0.06,,0.0,Kepler-334,,,Lyr,G,1.00,1.07,5828.0,1.185047,-0.074,,,,19.1427,47.1152,-33.0,9.3583,3,0,0.814,1.916,-2.37,-0.17,-1.10,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-334 c,Kepler-334 c,1909.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.97,,1.43,1.01,1.44,1.44,        103.5066,        103.5066,        103.5066,812.6,812.6,812.6,851.3,851.3,851.3,3.0,-23.02,2.72,12.76,0.1070,0.00,0.11,,0.0,Kepler-334,,,Lyr,G,1.00,1.07,5828.0,1.185047,-0.074,,,,19.1427,47.1152,-31.8,5.3311,3,0,0.814,1.916,-2.28,-0.16,-0.75,0.29,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-334 d,Kepler-334 d,1909.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.81,,1.41,1.00,1.41,1.41,        41.98721,        41.98721,        41.98722,648.5,648.5,648.5,686.9,686.9,686.9,2.8,-22.00,2.68,25.10,0.1680,0.00,0.17,,0.0,Kepler-334,,,Lyr,G,1.00,1.07,5828.0,1.185047,-0.074,,,,19.1427,47.1152,-30.8,3.3947,3,0,0.814,1.916,-2.17,-0.16,-0.66,0.31,0.00,0.00,0.00,0.32,0,0,0,1,Primary Transit,      2014.00
Kepler-335 b,Kepler-335 b,1915.01,Hot,Neptunian,gas,metals-rich,non-habitable,,7.65,,3.38,0.20,0.67,1.50,        651.2286,        651.2287,        651.2288,1287.0,1287.0,1287.0,,,,1.5,-26.90,6.43,6.56,0.0750,0.00,0.07,,0.0,Kepler-335,,,Cyg,G,0.99,1.85,5877.0,3.663161,-0.106,,,,19.7376,45.4286,-33.8,13.1743,2,0,1.428,3.355,-2.40,2.68,-0.92,0.21,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2014.00
Kepler-335 c,Kepler-335 c,1915.02,Hot,Neptunian,gas,metals-rich,non-habitable,,5.66,,3.07,0.20,0.60,1.36,        28.90387,        28.90387,        28.90388,590.7,590.7,590.7,,,,1.1,-23.29,5.83,67.84,0.3560,0.00,0.36,,0.0,Kepler-335,,,Cyg,G,0.99,1.85,5877.0,3.663161,-0.106,,,,19.7376,45.4286,-30.4,2.7696,2,0,1.428,3.355,-2.11,2.56,-0.65,0.23,,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-336 b,Kepler-336 b,1916.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.92,,1.02,0.87,0.89,0.95,        1649.730,        1649.731,        1649.731,1623.7,1623.7,1623.7,1656.8,1656.8,1656.8,0.8,-25.30,1.94,2.02,0.0330,0.00,0.03,,0.0,Kepler-336,,,Lyr,G,0.89,1.30,5867.0,1.796557,-0.401,,,,19.3492,41.3314,-34.8,21.1129,3,0,1.000,2.352,-2.43,-0.17,-1.27,0.27,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-336 c,Kepler-336 c,1916.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.42,,2.09,1.35,2.83,2.43,        212.2586,        212.2586,        212.2586,972.4,972.4,972.4,1018.5,1018.5,1018.5,16.8,-24.63,3.98,9.60,0.0920,0.00,0.09,,0.0,Kepler-336,,,Lyr,G,0.89,1.30,5867.0,1.796557,-0.401,,,,19.3492,41.3314,-32.6,7.5358,3,0,1.000,2.352,-2.34,-0.13,-0.22,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-336 d,Kepler-336 d,1916.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.80,,2.36,1.58,3.72,2.97,        75.75293,        75.75294,        75.75296,751.6,751.6,751.6,800.6,800.6,800.6,32.8,-23.77,4.49,20.68,0.1540,0.00,0.15,,0.0,Kepler-336,,,Lyr,G,0.89,1.30,5867.0,1.796557,-0.401,,,,19.3492,41.3314,-31.5,4.4998,3,0,1.000,2.352,-2.25,-0.12,0.36,0.30,0.00,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-337 b,Kepler-337 b,1929.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.78,,1.53,1.05,1.61,1.57,        1432.539,        1432.539,        1432.539,1567.4,1567.4,1567.4,1607.3,1607.3,1607.3,4.0,-26.04,2.92,3.29,0.0450,0.00,0.04,,0.0,Kepler-337,,,Cyg,G,0.96,1.76,5684.0,2.900891,-0.131,,,,19.3374,47.1640,-34.7,20.9596,2,0,1.285,3.036,-2.42,-0.15,-0.96,0.28,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-337 c,Kepler-337 c,1929.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,11.37,,2.05,1.32,2.71,2.36,        335.4019,        335.4019,        335.4020,1090.3,1090.3,1090.3,1135.9,1135.9,1135.9,15.0,-25.08,3.90,9.69,0.0930,0.00,0.09,,0.0,Kepler-337,,,Cyg,G,0.96,1.76,5684.0,2.900891,-0.131,,,,19.3374,47.1640,-33.1,10.0984,2,0,1.285,3.036,-2.36,-0.13,-0.35,0.29,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-338 b,Kepler-338 b,1930.01,Hot,Neptunian,rocky-iron,metals-rich,non-habitable,,30.62,,2.58,1.79,4.61,3.45,        225.8051,        244.4170,        264.9971,987.6,1007.0,1027.9,1038.7,1058.2,1079.0,54.8,-25.24,4.90,13.73,0.1170,0.04,0.12,,0.0,Kepler-338,,,Lyr,G,1.10,1.74,5923.0,3.343146,-0.106,,,,18.8653,40.7843,-32.7,7.9381,4,0,1.360,3.193,-2.36,-0.10,0.37,0.30,0.00,0.00,0.00,0.23,0,0,0,1,Primary Transit,      2014.00
Kepler-338 c,Kepler-338 c,1930.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.70,,2.48,1.69,4.19,3.22,        106.5214,        113.0561,        120.1033,818.5,830.6,843.4,868.6,880.8,893.6,43.6,-24.31,4.71,24.31,0.1720,0.03,0.17,,0.0,Kepler-338,,,Lyr,G,1.10,1.74,5923.0,3.343146,-0.106,,,,18.8653,40.7843,-31.9,5.3955,4,0,1.360,3.193,-2.30,-0.11,0.43,0.30,0.00,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
